"timestamp"	"action"	"events"
2014-11-25	"Result pages opened"	14
2014-11-25	"search sessions"	17
2014-11-26	"search sessions"	9
2014-11-25	"clickthroughs"	6
2014-11-26	"Result pages opened"	7
2014-11-26	"clickthroughs"	1
2014-12-01	"search sessions"	1
2014-12-01	"Result pages opened"	3
2014-12-02	"Result pages opened"	12178
2014-12-02	"clickthroughs"	2905
2014-12-02	"search sessions"	3185
2014-12-03	"clickthroughs"	5228
2014-12-03	"search sessions"	5708
2014-12-03	"Result pages opened"	21897
2014-12-04	"Result pages opened"	22686
2014-12-04	"search sessions"	5936
2014-12-04	"clickthroughs"	5437
2014-12-05	"clickthroughs"	5500
2014-12-05	"search sessions"	6037
2014-12-05	"Result pages opened"	22749
2014-12-06	"search sessions"	7331
2014-12-06	"Result pages opened"	29137
2014-12-06	"clickthroughs"	6732
2014-12-07	"search sessions"	8601
2014-12-07	"Result pages opened"	33039
2014-12-07	"clickthroughs"	7876
2014-12-08	"search sessions"	7110
2014-12-08	"Result pages opened"	26330
2014-12-08	"clickthroughs"	6491
2014-12-09	"search sessions"	7032
2014-12-09	"Result pages opened"	26712
2014-12-09	"clickthroughs"	6363
2014-12-10	"Result pages opened"	27254
2014-12-10	"clickthroughs"	6346
2014-12-10	"search sessions"	6980
2014-12-11	"Result pages opened"	26989
2014-12-11	"clickthroughs"	6243
2014-12-11	"search sessions"	6824
2014-12-12	"search sessions"	7477
2014-12-12	"Result pages opened"	29098
2014-12-12	"clickthroughs"	6819
2014-12-13	"search sessions"	8787
2014-12-13	"Result pages opened"	35957
2014-12-13	"clickthroughs"	8025
2014-12-14	"Result pages opened"	37700
2014-12-14	"clickthroughs"	8330
2014-12-14	"search sessions"	9109
2014-12-15	"Result pages opened"	30488
2014-12-15	"clickthroughs"	7018
2014-12-15	"search sessions"	7701
2014-12-16	"search sessions"	7957
2014-12-16	"Result pages opened"	30928
2014-12-16	"clickthroughs"	7239
2014-12-17	"Result pages opened"	30665
2014-12-17	"search sessions"	7766
2014-12-17	"clickthroughs"	7083
2014-12-18	"Result pages opened"	30650
2014-12-18	"clickthroughs"	7114
2014-12-18	"search sessions"	7825
2014-12-19	"Result pages opened"	29565
2014-12-19	"clickthroughs"	6819
2014-12-19	"search sessions"	7470
2014-12-20	"search sessions"	8830
2014-12-20	"Result pages opened"	37234
2014-12-20	"clickthroughs"	8027
2014-12-21	"Result pages opened"	40588
2014-12-21	"clickthroughs"	9033
2014-12-21	"search sessions"	9897
2014-12-22	"search sessions"	8711
2014-12-22	"Result pages opened"	34829
2014-12-22	"clickthroughs"	8003
2014-12-23	"Result pages opened"	35960
2014-12-23	"clickthroughs"	8476
2014-12-23	"search sessions"	9234
2014-12-24	"search sessions"	9348
2014-12-24	"Result pages opened"	37831
2014-12-24	"clickthroughs"	8551
2014-12-25	"Result pages opened"	44320
2014-12-25	"search sessions"	10780
2014-12-25	"clickthroughs"	9917
2014-12-26	"Result pages opened"	44491
2014-12-26	"search sessions"	10817
2014-12-26	"clickthroughs"	9921
2014-12-27	"Result pages opened"	44265
2014-12-27	"clickthroughs"	9917
2014-12-27	"search sessions"	10844
2014-12-28	"Result pages opened"	47132
2014-12-28	"search sessions"	11641
2014-12-28	"clickthroughs"	10711
2014-12-29	"Result pages opened"	40357
2014-12-29	"clickthroughs"	9213
2014-12-29	"search sessions"	10060
2014-12-30	"Result pages opened"	37747
2014-12-30	"clickthroughs"	8705
2014-12-30	"search sessions"	9452
2014-12-31	"Result pages opened"	39969
2014-12-31	"clickthroughs"	8924
2014-12-31	"search sessions"	9764
2015-01-01	"search sessions"	11868
2015-01-01	"clickthroughs"	10893
2015-01-01	"Result pages opened"	49599
2015-01-02	"Result pages opened"	47261
2015-01-02	"clickthroughs"	10786
2015-01-02	"search sessions"	11806
2015-01-03	"search sessions"	12160
2015-01-03	"Result pages opened"	49695
2015-01-03	"clickthroughs"	11114
2015-01-04	"Result pages opened"	53271
2015-01-04	"clickthroughs"	11966
2015-01-04	"search sessions"	12982
2015-01-05	"search sessions"	10223
2015-01-05	"Result pages opened"	41672
2015-01-05	"clickthroughs"	9302
2015-01-06	"clickthroughs"	9397
2015-01-06	"Result pages opened"	40450
2015-01-06	"search sessions"	10313
2015-01-07	"Result pages opened"	40384
2015-01-07	"search sessions"	10099
2015-01-07	"clickthroughs"	9134
2015-01-08	"Result pages opened"	39854
2015-01-08	"search sessions"	9920
2015-01-08	"clickthroughs"	9036
2015-01-09	"Result pages opened"	39928
2015-01-09	"clickthroughs"	9025
2015-01-09	"search sessions"	9946
2015-01-10	"search sessions"	11568
2015-01-10	"Result pages opened"	47945
2015-01-10	"clickthroughs"	10542
2015-01-11	"search sessions"	12969
2015-01-11	"Result pages opened"	53279
2015-01-11	"clickthroughs"	11850
2015-01-12	"Result pages opened"	42719
2015-01-12	"clickthroughs"	9660
2015-01-12	"search sessions"	10605
2015-01-13	"search sessions"	10141
2015-01-13	"Result pages opened"	39503
2015-01-13	"clickthroughs"	9181
2015-01-14	"Result pages opened"	39011
2015-01-14	"search sessions"	9715
2015-01-14	"clickthroughs"	8763
2015-01-15	"search sessions"	9945
2015-01-15	"Result pages opened"	40507
2015-01-15	"clickthroughs"	9068
2015-01-16	"search sessions"	10154
2015-01-16	"Result pages opened"	42302
2015-01-16	"clickthroughs"	9024
2015-01-17	"Result pages opened"	49138
2015-01-17	"search sessions"	11367
2015-01-17	"clickthroughs"	10199
2015-01-18	"search sessions"	13397
2015-01-18	"Result pages opened"	57996
2015-01-18	"clickthroughs"	11962
2015-01-19	"Result pages opened"	48254
2015-01-19	"clickthroughs"	9957
2015-01-19	"search sessions"	11196
2015-01-20	"Result pages opened"	45120
2015-01-20	"clickthroughs"	9383
2015-01-20	"search sessions"	10561
2015-01-21	"search sessions"	9544
2015-01-21	"clickthroughs"	8327
2015-01-21	"Result pages opened"	41982
2015-01-22	"Result pages opened"	41979
2015-01-22	"search sessions"	9791
2015-01-22	"clickthroughs"	8558
2015-01-23	"Result pages opened"	44376
2015-01-23	"clickthroughs"	9033
2015-01-23	"search sessions"	10162
2015-01-24	"search sessions"	11600
2015-01-24	"Result pages opened"	53497
2015-01-24	"clickthroughs"	10347
2015-01-25	"Result pages opened"	59604
2015-01-25	"clickthroughs"	11593
2015-01-25	"search sessions"	13164
2015-01-26	"search sessions"	10692
2015-01-26	"clickthroughs"	9449
2015-01-26	"Result pages opened"	47568
2015-01-27	"search sessions"	10405
2015-01-27	"Result pages opened"	45205
2015-01-27	"clickthroughs"	9083
2015-01-28	"Result pages opened"	44160
2015-01-28	"clickthroughs"	8666
2015-01-28	"search sessions"	9921
2015-01-29	"Result pages opened"	43889
2015-01-29	"search sessions"	10056
2015-01-29	"clickthroughs"	8759
2015-01-30	"search sessions"	9836
2015-01-30	"clickthroughs"	8632
2015-01-30	"Result pages opened"	44412
2015-01-31	"Result pages opened"	52900
2015-01-31	"search sessions"	11386
2015-01-31	"clickthroughs"	9988
2015-02-01	"clickthroughs"	11429
2015-02-01	"search sessions"	12916
2015-02-01	"Result pages opened"	59636
2015-02-02	"search sessions"	10764
2015-02-02	"Result pages opened"	47183
2015-02-02	"clickthroughs"	9455
2015-02-03	"Result pages opened"	43806
2015-02-03	"clickthroughs"	8655
2015-02-03	"search sessions"	9951
2015-02-04	"clickthroughs"	8286
2015-02-04	"Result pages opened"	42753
2015-02-04	"search sessions"	9474
2015-02-05	"Result pages opened"	40432
2015-02-05	"search sessions"	9375
2015-02-05	"clickthroughs"	8057
2015-02-06	"Result pages opened"	44350
2015-02-06	"clickthroughs"	8625
2015-02-06	"search sessions"	9950
2015-02-07	"Result pages opened"	50688
2015-02-07	"search sessions"	10964
2015-02-07	"clickthroughs"	9621
2015-02-08	"Result pages opened"	59225
2015-02-08	"clickthroughs"	11299
2015-02-08	"search sessions"	12856
2015-02-09	"Result pages opened"	48962
2015-02-09	"clickthroughs"	9301
2015-02-09	"search sessions"	10651
2015-02-10	"Result pages opened"	45149
2015-02-10	"clickthroughs"	8601
2015-02-10	"search sessions"	9991
2015-02-11	"Result pages opened"	45432
2015-02-11	"clickthroughs"	9037
2015-02-11	"search sessions"	10330
2015-02-12	"Result pages opened"	43503
2015-02-12	"search sessions"	9752
2015-02-12	"clickthroughs"	8501
2015-02-13	"Result pages opened"	44420
2015-02-13	"clickthroughs"	8518
2015-02-13	"search sessions"	9868
2015-02-14	"search sessions"	11159
2015-02-14	"Result pages opened"	52466
2015-02-14	"clickthroughs"	9795
2015-02-15	"clickthroughs"	10644
2015-02-15	"Result pages opened"	56383
2015-02-15	"search sessions"	12045
2015-02-16	"search sessions"	11063
2015-02-16	"Result pages opened"	49783
2015-02-16	"clickthroughs"	9758
2015-02-17	"clickthroughs"	9163
2015-02-17	"search sessions"	10481
2015-02-17	"Result pages opened"	46862
2015-02-18	"search sessions"	10230
2015-02-18	"Result pages opened"	44950
2015-02-18	"clickthroughs"	8726
2015-02-19	"Result pages opened"	44179
2015-02-19	"search sessions"	10039
2015-02-19	"clickthroughs"	8649
2015-02-20	"search sessions"	10369
2015-02-20	"Result pages opened"	46228
2015-02-20	"clickthroughs"	9074
2015-02-21	"search sessions"	11701
2015-02-21	"Result pages opened"	53708
2015-02-21	"clickthroughs"	10124
2015-02-22	"search sessions"	12564
2015-02-22	"clickthroughs"	10970
2015-02-22	"Result pages opened"	59424
2015-02-23	"search sessions"	11348
2015-02-23	"Result pages opened"	52270
2015-02-23	"clickthroughs"	9884
2015-02-24	"Result pages opened"	44019
2015-02-24	"clickthroughs"	8555
2015-02-24	"search sessions"	9916
2015-02-25	"Result pages opened"	48024
2015-02-25	"search sessions"	10694
2015-02-25	"clickthroughs"	9256
2015-02-26	"search sessions"	9998
2015-02-26	"Result pages opened"	44115
2015-02-26	"clickthroughs"	8682
2015-02-27	"search sessions"	10126
2015-02-27	"Result pages opened"	45750
2015-02-27	"clickthroughs"	8754
2015-02-28	"search sessions"	11560
2015-02-28	"Result pages opened"	52916
2015-02-28	"clickthroughs"	10015
2015-03-01	"search sessions"	12754
2015-03-01	"Result pages opened"	59270
2015-03-01	"clickthroughs"	11243
2015-03-02	"search sessions"	10542
2015-03-02	"Result pages opened"	47487
2015-03-02	"clickthroughs"	9075
2015-03-03	"Result pages opened"	45070
2015-03-03	"search sessions"	10220
2015-03-03	"clickthroughs"	8839
2015-03-04	"search sessions"	9995
2015-03-04	"Result pages opened"	45147
2015-03-04	"clickthroughs"	8668
2015-03-05	"Result pages opened"	43318
2015-03-05	"clickthroughs"	8434
2015-03-05	"search sessions"	9831
2015-03-06	"Result pages opened"	44940
2015-03-06	"clickthroughs"	8852
2015-03-06	"search sessions"	10103
2015-03-07	"Result pages opened"	53514
2015-03-07	"search sessions"	11492
2015-03-07	"clickthroughs"	9991
2015-03-08	"Result pages opened"	56840
2015-03-08	"search sessions"	12450
2015-03-08	"clickthroughs"	10838
2015-03-09	"search sessions"	10587
2015-03-09	"Result pages opened"	46058
2015-03-09	"clickthroughs"	9061
2015-03-10	"Result pages opened"	43972
2015-03-10	"search sessions"	10083
2015-03-10	"clickthroughs"	8688
2015-03-11	"search sessions"	10175
2015-03-11	"Result pages opened"	44378
2015-03-11	"clickthroughs"	8801
2015-03-12	"Result pages opened"	43718
2015-03-12	"search sessions"	9956
2015-03-12	"clickthroughs"	8437
2015-03-13	"Result pages opened"	42027
2015-03-13	"search sessions"	9662
2015-03-13	"clickthroughs"	8269
2015-03-14	"Result pages opened"	52835
2015-03-14	"clickthroughs"	10148
2015-03-14	"search sessions"	11820
2015-03-15	"search sessions"	13333
2015-03-15	"clickthroughs"	11527
2015-03-15	"Result pages opened"	60968
2015-03-16	"Result pages opened"	46389
2015-03-16	"search sessions"	10707
2015-03-16	"clickthroughs"	9187
2015-03-17	"Result pages opened"	45920
2015-03-17	"clickthroughs"	9072
2015-03-17	"search sessions"	10484
2015-03-18	"Result pages opened"	40190
2015-03-18	"search sessions"	9274
2015-03-18	"clickthroughs"	7950
2015-03-19	"search sessions"	8752
2015-03-19	"Result pages opened"	37773
2015-03-19	"clickthroughs"	7526
2015-03-20	"Result pages opened"	47118
2015-03-20	"clickthroughs"	9030
2015-03-20	"search sessions"	10630
2015-03-21	"Result pages opened"	54157
2015-03-21	"clickthroughs"	10400
2015-03-21	"search sessions"	12198
2015-03-22	"search sessions"	12616
2015-03-22	"Result pages opened"	57069
2015-03-22	"clickthroughs"	10892
2015-03-23	"Result pages opened"	48417
2015-03-23	"search sessions"	10808
2015-03-23	"clickthroughs"	9272
2015-03-24	"Result pages opened"	44625
2015-03-24	"search sessions"	10226
2015-03-24	"clickthroughs"	8784
2015-03-25	"clickthroughs"	9037
2015-03-25	"search sessions"	10576
2015-03-25	"Result pages opened"	46129
2015-03-26	"Result pages opened"	45405
2015-03-26	"clickthroughs"	8933
2015-03-26	"search sessions"	10338
2015-03-27	"search sessions"	10735
2015-03-27	"Result pages opened"	46730
2015-03-27	"clickthroughs"	9130
2015-03-28	"Result pages opened"	53235
2015-03-28	"search sessions"	11779
2015-03-28	"clickthroughs"	10181
2015-03-29	"search sessions"	13550
2015-03-29	"Result pages opened"	61114
2015-03-29	"clickthroughs"	11753
2015-03-30	"Result pages opened"	49783
2015-03-30	"search sessions"	11325
2015-03-30	"clickthroughs"	9694
2015-03-31	"search sessions"	10587
2015-03-31	"Result pages opened"	44189
2015-03-31	"clickthroughs"	9164
2015-04-01	"Result pages opened"	40725
2015-04-01	"clickthroughs"	8593
2015-04-01	"search sessions"	9988
2015-04-02	"search sessions"	10858
2015-04-02	"Result pages opened"	43231
2015-04-02	"clickthroughs"	9338
2015-04-03	"clickthroughs"	11734
2015-04-03	"Result pages opened"	57789
2015-04-03	"search sessions"	13446
2015-04-04	"search sessions"	12573
2015-04-04	"clickthroughs"	11029
2015-04-04	"Result pages opened"	54300
2015-04-05	"search sessions"	14176
2015-04-05	"clickthroughs"	12264
2015-04-05	"Result pages opened"	60826
2015-04-06	"Result pages opened"	54924
2015-04-06	"clickthroughs"	11145
2015-04-06	"search sessions"	12757
2015-04-07	"Result pages opened"	46541
2015-04-07	"clickthroughs"	9504
2015-04-07	"search sessions"	11051
2015-04-08	"Result pages opened"	47730
2015-04-08	"search sessions"	11444
2015-04-08	"clickthroughs"	9803
2015-04-09	"search sessions"	11138
2015-04-09	"Result pages opened"	46862
2015-04-09	"clickthroughs"	9541
2015-04-10	"Result pages opened"	45864
2015-04-10	"search sessions"	11116
2015-04-10	"clickthroughs"	9567
2015-04-11	"Result pages opened"	51828
2015-04-11	"clickthroughs"	10703
2015-04-11	"search sessions"	12264
2015-04-12	"clickthroughs"	11582
2015-04-12	"Result pages opened"	55212
2015-04-12	"search sessions"	13448
2015-04-13	"search sessions"	10878
2015-04-13	"Result pages opened"	45592
2015-04-13	"clickthroughs"	9378
2015-04-14	"Result pages opened"	44357
2015-04-14	"clickthroughs"	9351
2015-04-14	"search sessions"	10829
2015-04-15	"Result pages opened"	43037
2015-04-15	"search sessions"	10697
2015-04-15	"clickthroughs"	9089
2015-04-16	"search sessions"	11065
2015-04-16	"Result pages opened"	43633
2015-04-16	"clickthroughs"	9491
2015-04-17	"search sessions"	11949
2015-04-17	"Result pages opened"	49053
2015-04-17	"clickthroughs"	10073
2015-04-18	"Result pages opened"	57895
2015-04-18	"search sessions"	13926
2015-04-18	"clickthroughs"	11771
2015-04-19	"Result pages opened"	64622
2015-04-19	"clickthroughs"	13131
2015-04-19	"search sessions"	15439
2015-04-20	"Result pages opened"	55655
2015-04-20	"search sessions"	13766
2015-04-20	"clickthroughs"	11633
2015-04-21	"Result pages opened"	55729
2015-04-21	"clickthroughs"	11254
2015-04-21	"search sessions"	13297
2015-04-22	"Result pages opened"	53499
2015-04-22	"search sessions"	13128
2015-04-22	"clickthroughs"	10990
2015-04-23	"Result pages opened"	45286
2015-04-23	"clickthroughs"	9210
2015-04-23	"search sessions"	10946
2015-04-24	"search sessions"	11924
2015-04-24	"Result pages opened"	47822
2015-04-24	"clickthroughs"	9905
2015-04-25	"Result pages opened"	50221
2015-04-25	"search sessions"	11971
2015-04-25	"clickthroughs"	10191
2015-04-26	"Result pages opened"	53042
2015-04-26	"clickthroughs"	10883
2015-04-26	"search sessions"	12660
2015-04-27	"Result pages opened"	48810
2015-04-27	"search sessions"	11707
2015-04-27	"clickthroughs"	9870
2015-04-28	"search sessions"	11020
2015-04-28	"Result pages opened"	44626
2015-04-28	"clickthroughs"	9199
2015-04-29	"Result pages opened"	48304
2015-04-29	"clickthroughs"	9967
2015-04-29	"search sessions"	11921
2015-04-30	"Result pages opened"	33721
2015-04-30	"search sessions"	8368
2015-04-30	"clickthroughs"	7002
2015-05-01	"Result pages opened"	53405
2015-05-01	"clickthroughs"	10974
2015-05-01	"search sessions"	12931
2015-05-02	"Result pages opened"	52997
2015-05-02	"clickthroughs"	10702
2015-05-02	"search sessions"	12483
2015-05-03	"Result pages opened"	57706
2015-05-03	"search sessions"	13797
2015-05-03	"clickthroughs"	11878
2015-05-04	"Result pages opened"	46998
2015-05-04	"clickthroughs"	9889
2015-05-04	"search sessions"	11653
2015-05-05	"Result pages opened"	48118
2015-05-05	"search sessions"	12001
2015-05-05	"clickthroughs"	10119
2015-05-06	"Result pages opened"	37474
2015-05-06	"clickthroughs"	8011
2015-05-06	"search sessions"	9405
2015-05-07	"search sessions"	12259
2015-05-07	"clickthroughs"	10309
2015-05-07	"Result pages opened"	48544
2015-05-08	"Result pages opened"	47873
2015-05-08	"clickthroughs"	10355
2015-05-08	"search sessions"	12138
2015-05-09	"Result pages opened"	53335
2015-05-09	"search sessions"	13277
2015-05-09	"clickthroughs"	11313
2015-05-10	"Result pages opened"	59477
2015-05-10	"search sessions"	14676
2015-05-10	"clickthroughs"	12617
2015-05-11	"Result pages opened"	47755
2015-05-11	"search sessions"	12004
2015-05-11	"clickthroughs"	10222
2015-05-12	"Result pages opened"	47114
2015-05-12	"clickthroughs"	10129
2015-05-12	"search sessions"	11994
2015-05-13	"Result pages opened"	4916
2015-05-13	"search sessions"	1237
2015-05-13	"clickthroughs"	1074
